id	affixes	text	ja_norm_ud2.bpe_13230.txt	ja_norm_ud2.bpe_26460.txt	ja_norm_ud2.bpe_52920.txt	ja_ud2.bpe_13230.txt	ja_ud2.bpe_26460.txt	ja_ud2.bpe_52920.txt
33	-からの,-からは,-こと,-たもの,-ている,-との,-など,-に対して	これに対して、民間の金融機関からは、金融サービスの拡充は本来の郵便貯金業務の枠を超えたものであること、ドイツテレコムからの赤字補てんは、民間との公正な競争を阻害していることなどが批判された。	▁これに対して 、 民 間の 金融 機関 からは 、 金融 サービスの 拡充 は本 来の 郵便 貯 金 業務 の枠 を超えるた ものだ こと 、 ドイツ テレ コム からの 赤字 補 て ん は 、 民間 との 公 正だ 競争 を阻 害 するている こと などが 批判 するれるた 。	▁これに対して 、 民 間の 金融機関 からは 、 金融 サービスの 拡充 は本 来の 郵便 貯 金 業務 の枠 を超えるた ものだ こと 、 ドイツ テレ コム からの 赤字 補 てん は 、 民間 との 公正だ 競争 を阻害 するている こと などが 批判 するれるた 。	▁これに対して 、 民間の金融機関 からは 、 金融 サービスの 拡充 は本 来の 郵便 貯 金 業務 の枠 を超えるた ものだ こと 、 ドイツ テレ コム からの 赤字補てんは 、 民間 との公正だ競争 を阻害 するている こと などが 批判 するれるた 。	▁これに対して 、 民 間の 金融 機関 からは 、 金融 サービスの 拡充 は 本来の 郵便 貯 金 業務 の枠 を超えた ものである こと 、 ドイツ テレ コム からの 赤字 補 てん は 、 民間 との 公 正な 競争 を阻 害 している こと などが 批判 された 。	▁これに対して 、 民 間の 金融機関 からは 、 金融 サービスの 拡充 は 本来の 郵便 貯 金 業務 の枠 を超えた ものである こと 、 ドイツ テレ コム からの 赤字 補 てん は 、 民間 との 公正な 競争 を阻害 していること などが 批判 された 。	▁これに対して 、 民間の金融機関 からは 、 金融 サービスの 拡充 は 本来の 郵便 貯 金 業務 の枠 を超えた ものである こと 、 ドイツ テレ コム からの 赤字 補 てん は 、 民間との公正な 競争 を阻害 していること などが 批判 された 。
34	-える,-かもしれない,-だっ,-ている,-でき,-までの,-ものの	研究に携わった山下孝之教授は「これまでのがん治療は細胞そのものの増殖を抑えるものだったが、悪性化を抑える新しい治療もできるかもしれない」と話している。	▁研究 に携 わるた 山 下 孝 之 教授 は 「 これまで のが ん 治療 は 細胞 その ものの 増 殖 を抑える もの だたが 、 悪 性化 を抑える 新しい 治療 もできる かもしれるない 」 と話 すている 。	▁研究 に携 わるた 山下 孝 之 教授 は 「 これまで のが ん 治療 は 細胞 そのものの 増殖 を抑える ものだたが 、 悪 性化 を抑える 新しい 治療 もできる かもしれるない 」 と話 すている 。	▁研究 に携 わるた 山下 孝 之 教授 は 「 これまで のが ん 治療 は 細胞そのものの 増殖 を抑える ものだたが 、 悪 性化 を抑える 新しい 治療 もできる かもしれるない 」 と話 すている 。	▁研究 に 携 わった 山 下 孝 之 教授 は 「 これまで のが ん 治療 は 細胞 その ものの 増 殖 を抑 える もの だったが 、 悪 性化 を抑 える 新しい 治療 もできる かもしれない 」 と話 している 。	▁研究 に携 わった 山下 孝 之 教授 は 「 これまで のが ん 治療 は 細胞 そのものの 増殖 を抑える もの だったが 、 悪 性化 を抑える 新しい 治療 もできる かもしれない 」 と話 している 。	▁研究に携 わった山下 孝 之 教授 は 「 これまで のが ん 治療 は細胞そのものの 増殖 を抑える もの だったが 、 悪性化を抑える 新しい 治療 もできる かもしれない 」 と話 している 。
35	-に対して,-ほか	ドルは主要通貨に対して弱含み、3年3カ月ぶりの高値水準で推移したほか、英ポンドが4月ぶり、豪ドルが2月ぶりの高値をつけた。	▁ドル は 主要 通貨 に対して 弱 含 み 、3 年 3 カ月 ぶ りの 高 値 水準 で 推移 するた ほか 、 英 ポンド が 4 月 ぶ る 、 豪 ドル が 2 月 ぶ りの 高 値 をつく けるた 。	▁ドル は 主要 通貨 に対して 弱 含 み 、3 年 3 カ月 ぶりの高値 水準 で 推移 するた ほか 、 英 ポンド が 4 月 ぶ る 、 豪 ドルが 2 月 ぶりの高値 をつくけるた 。	▁ドル は 主要 通貨 に対して 弱 含 み 、3 年 3 カ月 ぶりの高値水準 で 推移 するた ほか 、 英 ポンド が 4 月 ぶ る 、 豪ドルが 2 月 ぶりの高値 をつくけるた 。	▁ドル は 主要 通貨 に対して 弱 含 み 、3 年 3 カ月 ぶりの 高 値 水準 で 推移 した ほか 、 英 ポンド が 4 月 ぶり 、 豪 ドル が 2 月 ぶりの 高 値 をつ けた 。	▁ドル は 主要 通貨 に対して 弱 含 み 、3 年 3 カ月 ぶりの高値 水準 で 推移 したほか 、 英 ポンド が 4 月 ぶり 、 豪 ドルが 2 月 ぶりの高値 をつけた 。	▁ドル は 主要 通貨 に対して 弱 含 み 、3 年 3 カ月 ぶりの高値水準 で 推移したほか 、 英 ポンド が 4 月 ぶり 、 豪ドルが 2 月 ぶりの高値 をつけた 。
36	-での	映像はHDリマスターでの収録となる。	▁ 映像 は HD リ マスター での 収録 となる 。	▁ 映像 は HD リ マスター での 収録 となる 。	▁ 映像 は HD リ マスター での 収録 となる 。	▁ 映像 は HD リ マスター での 収録 となる 。	▁ 映像 は HD リ マスター での 収録 となる 。	▁ 映像 は HD リ マスター での 収録 となる 。
37	-から,-との,-なり	6月19日に保釈金を支払い釈放、7月15日からイングランド艦隊の義勇兵となり、8月1日にノルウェーのベルゲン港でオランダ共和国との交戦を経験した。	▁6 月 ▁19 日に 保 釈 金を 支払 う 釈 放 、7 月 ▁15 日から イングランド 艦隊 の義 勇 兵 となる 、8 月 ▁1 日に ノル ウェーの ベル ゲン 港 で オランダ 共和国 との 交 戦 を経験 するた 。	▁6 月 ▁19 日に 保釈 金を 支払 う 釈放 、7 月 ▁15 日から イングランド 艦隊 の義 勇 兵 となる 、8 月 ▁1 日に ノルウェーの ベル ゲン 港で オランダ 共和国 との交 戦 を経験するた 。	▁6 月 ▁19 日に 保釈金を 支払 う 釈放 、7 月 ▁15 日から イングランド 艦隊 の義 勇 兵 となる 、8 月 ▁1 日に ノルウェーのベル ゲン港でオランダ 共和国 との交 戦 を経験するた 。	▁6 月 ▁19 日に 保 釈 金を 支払 い 釈 放 、7 月 ▁15 日から イングランド 艦隊 の義 勇 兵 となり 、8 月 ▁1 日に ノル ウェーの ベル ゲン 港 で オランダ 共和国 との 交 戦 を経験 した 。	▁6 月 ▁19 日に 保釈 金を 支払 い 釈放 、7 月 ▁15 日から イングランド 艦隊 の義 勇 兵 となり 、8 月 ▁1 日に ノルウェーの ベル ゲン 港で オランダ 共和国 との交 戦 を経験した 。	▁6 月 ▁19 日に保釈金を 支払 い 釈放 、7 月 ▁15 日から イングランド 艦隊 の義 勇 兵 となり 、8 月 ▁1 日に ノルウェーのベル ゲン港でオランダ 共和国との交 戦を経験した 。
38	-かな	手首・足に釘で貫かれた明らかな痕がある。	▁手 首 ・ 足 に 釘 で 貫 くれるた 明 ら かな 痕 がある 。	▁手 首 ・ 足 に 釘 で 貫 くれるた 明 ら かな 痕 がある 。	▁手 首 ・ 足 に 釘 で 貫 くれるた 明 ら かな 痕 がある 。	▁手 首 ・ 足 に 釘 で 貫 かれた 明ら かな 痕 がある 。	▁手 首 ・ 足 に 釘 で 貫 かれた 明らかな 痕 がある 。	▁手 首 ・ 足 に 釘 で 貫 かれた明らかな痕 がある 。
39	-下さい	まずは下記をご覧下さい。	▁まず は 下 記 を ご覧 下さる 。	▁まずは 下 記 を ご覧 下さる 。	▁まずは下記を ご覧 下さる 。	▁まず は 下 記 を ご覧 下さい 。	▁まずは 下 記 を ご覧 下さい 。	▁まずは 下 記 を ご覧 下さい 。
41	-から,-ており,-という,-には,-によると,-ほど	今月22日には、今回の現場からわずか260メートルほどの事務所から出火しており、警察によると、放火の可能性があるという。	▁今 月 22 日には 、 今回の 現場 から わずか 2 60 メートル ほどの 事務所 から 出 火 するておる 、 警察 によると 、 放 火 の 可能性がある という 。	▁今 月 22 日には 、 今回の 現場から わずか 2 60 メートル ほどの 事務所 から出 火 するておる 、 警察によると 、 放 火の 可能性がある という 。	▁今 月 22 日には 、 今回の 現場から わずか 260 メートル ほどの 事務所 から出 火するておる 、 警察によると 、 放 火の 可能性がある という 。	▁今 月 22 日には 、 今回の 現場 から わずか 2 60 メートル ほどの 事務所 から 出 火 しており 、 警察 によると 、 放 火 の 可能性がある という 。	▁今 月 22 日には 、 今回の 現場から わずか 2 60 メートル ほどの 事務所 から出 火 しており 、 警察によると 、 放 火の 可能性がある という 。	▁今 月 22 日には 、 今回の現場から わずか 2 60 メートル ほどの 事務所から出火 しており 、 警察によると 、 放 火の 可能性がある という 。
42	-ている,-ながら,-に対し	球界の話題を独占している次代のエースに対し、ダルビッシュは自身のルーキー時代を振り返りながら苦笑交じりに比較した。	▁ 球 界の 話題 を 独占 するている 次 代 のエ ース に対し 、 ダル ビ ッシュ は 自身の ルー キー 時代 を 振り 返 る ながら 苦 笑 交 じ りに 比較 するた 。	▁球 界の 話題 を独占 するている 次代 のエース に対し 、 ダル ビ ッシュ は 自身の ルーキー 時代 を振り 返 る ながら 苦 笑 交 じ りに 比較 するた 。	▁球界の話題 を独占 するている次代 のエース に対し 、 ダル ビ ッシュ は 自身の ルーキー 時代を振り返る ながら 苦笑交じりに 比較 するた 。	▁ 球 界の 話題 を 独占 している 次 代 のエ ース に対し 、 ダル ビ ッシュ は 自身の ルー キー 時代 を 振り 返り ながら 苦 笑 交 じ りに 比較 した 。	▁球 界の 話題を 独占 している 次代 のエース に対し 、 ダル ビ ッシュ は 自身の ルーキー 時代 を振り 返り ながら 苦笑 交 じ りに 比較 した 。	▁球界の話題を 独占 している次代 のエース に対し 、 ダル ビ ッシュ は 自身の ルーキー 時代を振り返り ながら 苦笑交じりに 比較した 。
44	-である,-には	元ダイエーの藤本博史らと並び、プロ野球選手には珍しい柔道の有段者である。	▁元 ダイ エ ーの 藤 本 博 史 らと 並ぶ 、 プロ野球 選手 には 珍しい 柔 道の 有 段 者だ 。	▁元 ダイ エ ーの 藤本 博 史 らと 並ぶ 、 プロ野球 選手 には 珍しい 柔道の 有 段 者だ 。	▁元 ダイエーの藤本 博 史 らと 並ぶ 、 プロ野球 選手 には 珍しい 柔道の有段者だ 。	▁元 ダイ エ ーの 藤 本 博 史 らと 並び 、 プロ野球 選手 には 珍しい 柔 道の 有 段 者である 。	▁元 ダイ エ ーの 藤本 博 史 らと 並び 、 プロ野球 選手 には 珍しい 柔道の 有 段 者である 。	▁元 ダイ エ ーの 藤本博史 らと 並び 、 プロ野球 選手 には 珍しい 柔道の有段 者である 。
45	-ては	ごく少数の女性歌手もいるが、たいては男性が歌う。	▁ご く 少 数の 女性 歌手 もいる が 、 た くて は 男性が 歌う 。	▁ごく 少数の 女性 歌手 もいる が 、 た くて は 男性が 歌う 。	▁ごく 少数の女性歌手 もいる が 、 た くて は 男性が 歌う 。	▁ ごく 少 数の 女性 歌手 もいる が 、 た いては 男性が 歌う 。	▁ごく 少数の 女性 歌手 もいる が 、 た いては 男性が 歌う 。	▁ごく 少数の女性歌手 もいる が 、 た いては 男性が 歌う 。
47	-れる	アジアが注目される中、日本の株価騰落率はマイナス3%。	▁ア ジア が 注目 するれる 中 、 日本の 株価 騰 落 率は マイナス 3% 。	▁アジア が 注目するれる 中 、 日本の 株価 騰 落 率は マイナス 3%。	▁アジア が注目するれる中 、 日本の 株価 騰 落 率は マイナス 3%。	▁ア ジア が 注目 される 中 、 日本の 株価 騰 落 率は マイナス 3% 。	▁アジア が注目 される 中 、 日本の 株価 騰 落 率は マイナス 3%。	▁アジアが注目 される 中 、 日本の 株価 騰 落 率は マイナス 3%。
