id	affixes	text	en_ud2.bpe_12442.txt	en_ud2.bpe_24884.txt	en_ud2.bpe_49768.txt
40	-ial,-in,ag-,be-,tri-	The trial begins again Nov.28.	▁The ▁trial ▁beg ins ▁again ▁Nov . 2 8.	▁The ▁trial ▁begins ▁again ▁Nov .2 8.	▁The ▁trial ▁begins ▁again ▁Nov .28.
41	-ad,-al,-es,-ing,-ity,-ly,an-,con-	In Baghdad the fighting still continues in several areas, mostly in Sadr city and Adhamiya.	▁In ▁Baghdad ▁the▁f ighting ▁still ▁continues ▁in ▁several ▁areas , ▁mostly ▁in▁S adr ▁city ▁and ▁Ad ham i ya .	▁In ▁Baghdad ▁the▁f ighting ▁still ▁continues ▁in▁several ▁areas , ▁mostly ▁in▁S adr ▁city ▁and ▁Ad ham iya .	▁In▁Baghdad ▁the▁fighting ▁still ▁continues ▁in▁several ▁areas , ▁mostly ▁in▁S adr ▁city ▁and ▁Ad hamiya .
42	-er,-et,-ont,-ture,an-	Baghdadis don't venture much out of their neighbourhoods any more, you never know where you might get stuck.	▁Baghdad is ▁don ' t ▁venture ▁much ▁out ▁of▁their ▁neighbourhood s ▁any ▁more , ▁you ▁never ▁know ▁where ▁you▁might ▁get ▁stuck .	▁Baghdad is ▁don ' t ▁venture ▁much ▁out ▁of▁their ▁neighbourhood s ▁any▁more , ▁you ▁never ▁know▁where ▁you▁might ▁get ▁stuck .	▁Baghdad is ▁don ' t ▁venture ▁much ▁out ▁of▁their ▁neighbourhood s▁any▁more , ▁you ▁never ▁know▁where ▁you▁might▁get ▁stuck .
43	-ed,-en,-in,ag-,be-,im-	There has been talk that the night curfew might be implemented again.	▁There ▁has▁been ▁talk ▁that▁the ▁night ▁cur f ew ▁might▁be ▁implement ed ▁again .	▁There▁has▁been ▁talk ▁that▁the ▁night ▁cur few ▁might▁be ▁implemented ▁again .	▁There▁has▁been ▁talk ▁that▁the ▁night ▁curfew ▁might▁be ▁implemented ▁again .
44	-an,-ed,-ee,-en,-er,-hood,-ling,-or,be-,heli-,non-,ov-	My neighbourhood has been surrounded by American troops for three days now, helicopters have been circling over our heads non-stop.	▁My ▁neighbourhood ▁has▁been ▁surrounded▁by ▁American ▁troop s▁for ▁three ▁days ▁now , ▁helicopters ▁have▁been ▁circl ing▁over ▁our ▁heads ▁non - st op .	▁My ▁neighbourhood ▁has▁been ▁surrounded▁by ▁American ▁troop s▁for ▁three▁days ▁now , ▁helicopters ▁have▁been ▁circl ing▁over ▁our ▁heads ▁non - st op .	▁My ▁neighbourhood ▁has▁been ▁surrounded▁by ▁American ▁troop s▁for ▁three▁days ▁now , ▁helicopters ▁have▁been ▁circl ing▁over ▁our▁heads ▁non - st op .
45	-an,-en,-er,-et,-ey,-ible,-ome,an-,be-	Fedayeen are now visible on the street and they have become bolder than ever.	▁Fed ay een ▁are▁now ▁visible ▁on▁the ▁street ▁and▁they▁have ▁become ▁b old er▁than ▁ever .	▁Fed ayeen ▁are▁now ▁visible ▁on▁the▁street ▁and▁they▁have ▁become ▁bold er▁than ▁ever .	▁Fedayeen ▁are▁now ▁visible ▁on▁the▁street ▁and▁they▁have ▁become▁bold er▁than ▁ever .
46	-ad,-art,-en,-et,-ey,-ing,-ly,-ome,an-,com-,ind-,on-	Yesterday there were tens of them putting road blocks on our street and setting up mortars, they only come out in the open when Americans leave the area, then they start firing mortars indiscriminately and shooting their AK-47's in the air.	▁Yes terday ▁there▁were ▁tens ▁of▁them ▁putting ▁road ▁blocks ▁on▁our ▁street ▁and ▁setting ▁up ▁mort ars , ▁they ▁only ▁come▁out ▁in▁the ▁open ▁when ▁Americans ▁leave▁the ▁area , ▁then▁they ▁start ▁f iring ▁mort ar s▁ind isc rim in ately ▁and ▁shoot ing▁their ▁AK -4 7 ' s▁in▁the ▁air .	▁Yes terday ▁there▁were ▁tens ▁of▁them ▁putting ▁road ▁blocks ▁on▁our ▁street ▁and ▁setting ▁up ▁mort ars , ▁they ▁only ▁come▁out ▁in▁the ▁open ▁when ▁Americans ▁leave▁the ▁area , ▁then▁they ▁start ▁f iring ▁mort ar s▁ind isc rim inately ▁and ▁shoot ing▁their ▁AK -47 ' s▁in▁the ▁air .	▁Yesterday ▁there▁were ▁tens ▁of▁them ▁putting ▁road▁blocks ▁on▁our ▁street ▁and ▁setting▁up ▁mort ars , ▁they▁only ▁come▁out ▁in▁the ▁open ▁when ▁Americans ▁leave▁the ▁area , ▁then▁they ▁start ▁f iring ▁mortar s▁indisc riminately ▁and▁shoot ing▁their ▁AK -47' s▁in▁the ▁air .
47	-ad,-ar,-es,-ey,-ing,-le,-st,exa-,ind-	They are setting the road blocks at the exact same positions they were during the war last year, which indicates they are the same people.	▁They▁are ▁sett ing▁the ▁road ▁blocks ▁at▁the ▁exact ▁same ▁positions ▁they▁were ▁during▁the ▁war ▁last▁year , ▁which ▁indic ates ▁they▁are ▁the▁same ▁people .	▁They▁are ▁sett ing▁the ▁road ▁blocks ▁at▁the ▁exact▁same ▁positions ▁they▁were ▁during▁the ▁war ▁last▁year , ▁which ▁indicates ▁they▁are ▁the▁same▁people .	▁They▁are ▁sett ing▁the ▁road▁blocks ▁at▁the ▁exact▁same ▁positions ▁they▁were ▁during▁the ▁war ▁last▁year , ▁which ▁indicates ▁they▁are ▁the▁same▁people .
48	-an,-ing,-le,-ly,ab-,an-,re-	And there is nothing we can do about it really, people who are suggesting that we go out and fight them are living in dream land.	▁And ▁there ▁is▁not hing ▁we▁can ▁do ▁about▁it ▁really , ▁people▁who ▁are ▁suggest ing ▁that▁we ▁go ▁out ▁and▁f ight ▁them ▁are ▁living▁in ▁dream ▁land .	▁And ▁there ▁is▁nothing ▁we▁can ▁do ▁about▁it ▁really , ▁people▁who ▁are ▁suggesting ▁that▁we ▁go ▁out ▁and▁f ight ▁them ▁are ▁living▁in ▁dream ▁land .	▁And▁there ▁is▁nothing ▁we▁can▁do ▁about▁it ▁really , ▁people▁who ▁are ▁suggesting ▁that▁we ▁go ▁out ▁and▁f ight ▁them ▁are ▁living▁in ▁dream▁land .
49	-an,-ant,-ed,-en,-hood,-ide,-ing,-ish,-ont,-ose,-pter,ab-,al-,an-,dis-,ex-,heli-,in-	Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?	▁Even ▁the ▁IP ▁and▁I C D C ▁have ▁abandon ed▁the ▁neighbourhood , ▁and▁those ▁are ▁train ed▁and ▁armed , ▁so ▁don ' t▁expect ▁scared ▁civilians ▁to▁do ▁anything ▁except ▁to ▁hide ▁inside ▁and ▁pray ▁a ▁helicopter ▁or▁a ▁tank ▁doesn ' t ▁bomb ▁them , ▁and▁also ▁how ▁are ▁American ▁soldiers ▁going▁to ▁distingu ish ▁the▁b rave ▁and ▁val iant ▁civilians ▁from▁the ▁Fed ay een ?	▁Even ▁the ▁IP ▁and▁I CDC ▁have ▁abandon ed▁the ▁neighbourhood , ▁and▁those ▁are ▁trained▁and ▁armed , ▁so ▁don ' t▁expect ▁scared ▁civilians ▁to▁do ▁anything▁except ▁to ▁hide ▁inside ▁and ▁pray ▁a ▁helicopter ▁or▁a ▁tank ▁doesn ' t ▁bomb ▁them , ▁and▁also ▁how ▁are ▁American ▁soldiers ▁going▁to ▁distingu ish ▁the▁b rave ▁and ▁val iant ▁civilians ▁from▁the ▁Fed ayeen ?	▁Even▁the▁IP ▁and▁ICDC ▁have ▁abandon ed▁the ▁neighbourhood , ▁and▁those ▁are ▁trained▁and ▁armed , ▁so▁don ' t▁expect ▁scared ▁civilians ▁to▁do ▁anything▁except ▁to▁hide ▁inside▁and ▁pray ▁a ▁helicopter ▁or▁a ▁tank ▁doesn ' t ▁bomb ▁them , ▁and▁also ▁how▁are ▁American ▁soldiers ▁going▁to ▁distinguish ▁the▁b rave ▁and ▁val iant ▁civilians ▁from▁the ▁Fedayeen ?
50	-ing,-ive,-ome,-one,-th,an-,ap-	Everyone is apprehensive, there is some talk that April 9th and 10th are going to be bloody days.	▁Everyone ▁is▁app rehensive , ▁there▁is ▁some ▁talk ▁that ▁April ▁9 th▁and ▁10 th ▁are ▁going▁to▁be ▁bloody ▁days .	▁Everyone ▁is▁app rehensive , ▁there▁is ▁some ▁talk ▁that ▁April ▁9 th▁and ▁10 th ▁are ▁going▁to▁be ▁bloody ▁days .	▁Everyone ▁is▁app rehensive , ▁there▁is ▁some ▁talk ▁that ▁April ▁9 th▁and ▁10 th ▁are ▁going▁to▁be ▁bloody ▁days .
51	-ad,-al,-an,-ent,-est,-ine,-le,-one,-st,al-,de-,re-	Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is).	▁Most ▁people ▁haven ' t ▁gone ▁to▁work ▁the▁last ▁few▁days , ▁although ▁it ▁seems ▁that▁the ▁rest ▁of ▁Baghdad ▁is ▁' norm al ' ▁( if ▁you▁can ▁def ine ▁what ▁normal ▁is ).	▁Most ▁people ▁haven ' t ▁gone ▁to▁work ▁the▁last ▁few▁days , ▁although ▁it ▁seems ▁that▁the ▁rest▁of ▁Baghdad ▁is ▁' normal ' ▁( if ▁you▁can ▁define ▁what ▁normal ▁is ).	▁Most ▁people ▁haven ' t ▁gone ▁to▁work ▁the▁last ▁few▁days , ▁although ▁it ▁seems ▁that▁the ▁rest▁of ▁Baghdad ▁is ▁' normal ' ▁( if ▁you▁can ▁define▁what ▁normal ▁is ).
52	-al,-ar,-ard,-ee,-er,-et,-hood,-ic,-ing,-or,-st,-ty,ab-,ag-,al-,an-,ano-,di-,on-,over-,pre-,to-	"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time""."	"▁There▁are ▁rum our s ▁about ▁prepar ations ▁by ▁sl um ▁d well ers ▁for▁another ▁loot ing ▁sp ree ▁against ▁banks , ▁government al▁and ▁public ▁property ▁similar ▁to▁the ▁one▁that ▁took ▁place ▁last ▁April , ▁and▁I▁have ▁already ▁over he ard ▁young sters ▁in▁my ▁neighbourhood ▁jo king ▁about▁it ▁and ▁saying ▁things ▁like ▁"" This ▁time▁we ▁will▁be ▁the▁first ▁to ▁loot , ▁we ▁didn ' t▁get ▁any th ing▁the ▁last ▁time ""."	"▁There▁are ▁rum ours ▁about ▁prepar ations ▁by ▁sl um ▁d well ers ▁for▁another ▁loot ing ▁sp ree ▁against ▁banks , ▁government al▁and ▁public ▁property ▁similar ▁to▁the ▁one▁that ▁took▁place ▁last ▁April , ▁and▁I▁have ▁already ▁over heard ▁young sters ▁in▁my ▁neighbourhood ▁joking ▁about▁it ▁and ▁saying ▁things▁like ▁"" This ▁time▁we ▁will▁be ▁the▁first ▁to ▁loot , ▁we▁didn ' t▁get ▁any th ing▁the ▁last ▁time ""."	"▁There▁are ▁rum ours▁about ▁prepar ations▁by▁sl um ▁d well ers ▁for▁another ▁looting▁sp ree ▁against ▁banks , ▁government al▁and▁public ▁property ▁similar ▁to▁the ▁one▁that ▁took▁place ▁last▁April , ▁and▁I▁have ▁already ▁over heard▁young sters▁in▁my ▁neighbourhood ▁joking ▁about▁it ▁and ▁saying ▁things▁like ▁"" This ▁time▁we ▁will▁be ▁the▁first▁to ▁loot , ▁we▁didn ' t▁get▁any thing▁the ▁last▁time ""."
53	-al,-ed,-er,-es,-ine,-ing,-ling,-or,-st,al-,an-,con-,re-	Mosques are calling for donating blood, food, and medicine for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.	▁Mos qu es▁are ▁call ing▁for ▁don ating ▁blood , ▁food , ▁and ▁med icine ▁for ▁Fallujah , ▁and ▁several ▁conv oy s▁have ▁already ▁head ed▁out ▁for ▁Fallujah , ▁most ▁of▁them ▁returned ▁later ▁though .	▁Mos qu es▁are ▁call ing▁for ▁donating ▁blood , ▁food , ▁and ▁medicine ▁for ▁Fallujah , ▁and ▁several ▁conv oy s▁have ▁already ▁head ed▁out ▁for ▁Fallujah , ▁most▁of▁them ▁returned ▁later ▁though .	▁Mos qu es▁are ▁calling▁for ▁donating ▁blood , ▁food , ▁and ▁medicine ▁for▁Fallujah , ▁and▁several ▁conv oy s▁have▁already ▁headed▁out ▁for▁Fallujah , ▁most▁of▁them ▁returned ▁later ▁though .
54	-ad,-an,-ance,-en,-es,-et,-ey,-ia,-ics,-ing,-ite,-ity,-st,ag-,al-,an-,be-,de-,in-,ir-,other-,ter-	What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.	▁What ▁ir rit ates ▁me ▁is ▁this ▁sudden ▁false ▁' s olid ar ity ' ▁between ▁Sunni ▁and ▁Shi ' ite ▁cler ics , ▁we▁all ▁know ▁that▁they ▁would▁be ▁glad ▁to▁get ▁at ▁each ▁others ▁th ro ats ▁when ▁they▁have ▁the ▁chance , ▁and ▁Shia ▁cler ics ▁were ▁describ ing ▁Falluj an ▁insurgents ▁as ▁' B a ' ath ists ', ▁' S addam ites ', ▁' W ah hab is ', ▁and ▁' terror ists ' ▁just ▁a▁few▁days ▁ago .	▁What ▁irrit ates ▁me ▁is▁this ▁sudden ▁false ▁' solid arity ' ▁between ▁Sunni ▁and ▁Shi ' ite ▁clerics , ▁we▁all ▁know ▁that▁they ▁would▁be ▁glad ▁to▁get ▁at▁each ▁others ▁th ro ats ▁when ▁they▁have ▁the▁chance , ▁and ▁Shia ▁clerics ▁were ▁describ ing ▁Fallujan ▁insurgents ▁as ▁' Ba ' athists ',▁' Saddam ites ',▁' W ahhab is ', ▁and ▁' terror ists ' ▁just ▁a▁few▁days ▁ago .	▁What ▁irrit ates▁me ▁is▁this ▁sudden ▁false ▁' solidarity ' ▁between ▁Sunni ▁and ▁Shi ' ite▁clerics , ▁we▁all▁know ▁that▁they ▁would▁be▁glad ▁to▁get ▁at▁each ▁others ▁th ro ats ▁when ▁they▁have ▁the▁chance , ▁and ▁Shia ▁clerics ▁were ▁describing ▁Fallujan ▁insurgents ▁as ▁' Ba ' athists ',▁' Saddamites ',▁' Wahhabis ', ▁and ▁' terrorists ' ▁just ▁a▁few▁days ▁ago .
55	-ed	So what happened?	▁So ▁what ▁happened ?	▁So ▁what ▁happened ?	▁So▁what ▁happened ?
56	-er,-ess,-in,-ing,-st,ag-,an-,co-,en-	I guess it's just the old new Arab 'Me against my brother, me and my brother against my cousin, me and my cousin against my enemy', or 'The enemy of my enemy is my friend' thing going on again.	▁I▁guess ▁it ' s▁just ▁the▁old ▁new ▁Arab ▁' M e ▁against ▁my ▁brother , ▁me ▁and▁my ▁brother ▁against ▁my ▁cous in , ▁me ▁and▁my ▁cous in ▁against ▁my ▁enemy ', ▁or ▁' The ▁enem y▁of ▁my ▁enem y▁is ▁my▁friend ' ▁thing ▁going▁on ▁again .	▁I▁guess ▁it ' s▁just ▁the▁old ▁new ▁Arab ▁' Me ▁against▁my ▁brother , ▁me▁and▁my ▁brother ▁against▁my ▁cousin , ▁me▁and▁my ▁cousin ▁against▁my ▁enemy ', ▁or ▁' The ▁enem y▁of ▁my ▁enem y▁is ▁my▁friend ' ▁thing ▁going▁on ▁again .	▁I▁guess ▁it ' s▁just ▁the▁old▁new ▁Arab ▁' Me▁against▁my ▁brother , ▁me▁and▁my ▁brother ▁against▁my ▁cousin , ▁me▁and▁my ▁cousin ▁against▁my ▁enemy ', ▁or ▁' The ▁enemy▁of▁my ▁enem y▁is ▁my▁friend ' ▁thing ▁going▁on ▁again .
57	-ing,-ly,-or,new-,on-,re-	Speaking of Fallujah, we have only Al-Jazeera to rely on for our news from there.	▁Spe aking ▁of▁Fallujah , ▁we▁have ▁only ▁Al - J aze era ▁to▁re ly ▁on ▁for▁our ▁news ▁from ▁there .	▁Spe aking ▁of▁Fallujah , ▁we▁have ▁only ▁Al - Jazeera ▁to▁re ly ▁on ▁for▁our ▁news ▁from ▁there .	▁Speaking ▁of▁Fallujah , ▁we▁have ▁only ▁Al - Jazeera▁to▁re ly ▁on ▁for▁our ▁news ▁from▁there .
58	-ed,-ent,-er,-ey,-ing,-ly,al-,an-,ov-,re-,to-	They have sent over their top reporter Ahmed Mansour to the town, and he is spouting all kinds of propaganda hourly reminding me of Al-Sahhaf.	▁They▁have ▁sent ▁over ▁their ▁top ▁reporter ▁Ahmed ▁M ans our ▁to▁the ▁town , ▁and▁he ▁is ▁sp out ing ▁all▁kind s▁of ▁prop aganda ▁hour ly ▁remind ing▁me ▁of▁Al - S ah h af .	▁They▁have ▁sent▁over ▁their ▁top ▁reporter ▁Ahmed ▁Mans our ▁to▁the ▁town , ▁and▁he▁is ▁sp out ing ▁all▁kinds▁of ▁propaganda ▁hour ly ▁remind ing▁me ▁of▁Al - Sah h af .	▁They▁have ▁sent▁over ▁their ▁top ▁reporter ▁Ahmed ▁Mansour ▁to▁the ▁town , ▁and▁he▁is ▁sp out ing ▁all▁kinds▁of ▁propaganda ▁hourly ▁remind ing▁me▁of▁Al - Sah h af .
59	-an,-ant,-ar,-en,-es,-et,-ey,-ing,-st,-ster,ag-,al-,an-,pre-	"They are targetting ambulances, ""American snipers are shooting children and pregnant women"", and ""They are using cluster bombs against civilians"" is all you get to hear from him."	"▁"" The y▁are ▁target ting ▁ambul ances "" ,▁"" American ▁sn ip ers▁are ▁shoot ing ▁children ▁and ▁pregn ant ▁women "", ▁and ▁"" The y▁are ▁using ▁cl uster ▁bombs ▁against ▁civilians "" ▁is ▁all ▁you▁get ▁to▁hear ▁from ▁him ."	"▁"" They▁are ▁target ting ▁ambulances "" ,▁"" American ▁snip ers▁are ▁shooting ▁children▁and ▁pregnant ▁women "", ▁and ▁"" They▁are ▁using ▁cl uster ▁bombs ▁against ▁civilians "" ▁is ▁all ▁you▁get ▁to▁hear ▁from ▁him ."	"▁"" They▁are ▁target ting ▁ambulances "" ,▁"" American ▁snipers▁are ▁shooting ▁children▁and ▁pregnant ▁women "", ▁and ▁"" They▁are ▁using ▁cl uster ▁bombs ▁against ▁civilians "" ▁is ▁all ▁you▁get ▁to▁hear ▁from▁him ."
60	-able,-an,-ed,-en,-es,-id,-ing,-or,an-,co-,di-,on-,un-	He did once make an unforgivable error when he mentioned that Fallujan militants were shooting at the Marines from the roofs of mosques and houses in Hay Al-Golan, but of course that is okay for Al-Jazeera.	▁He ▁did ▁once ▁make ▁an ▁un for g iv able ▁error ▁when▁he ▁mention ed▁that ▁Falluj an ▁milit ants ▁were ▁shoot ing ▁at▁the ▁Mar ines ▁from▁the ▁roof s▁of ▁mosqu es▁and ▁hous es▁in ▁H ay ▁Al - G ol an , ▁but ▁of▁course ▁that▁is ▁okay ▁for ▁Al - J aze era .	▁He▁did ▁once ▁make ▁an▁un for giv able ▁error ▁when▁he ▁mention ed▁that ▁Fallujan ▁milit ants ▁were ▁shooting ▁at▁the ▁Marines ▁from▁the ▁roof s▁of ▁mosqu es▁and ▁hous es▁in ▁Hay ▁Al - G ol an , ▁but ▁of▁course ▁that▁is ▁okay ▁for ▁Al - Jazeera .	▁He▁did ▁once ▁make ▁an▁un forgivable ▁error ▁when▁he ▁mentioned▁that ▁Fallujan ▁militants ▁were ▁shooting ▁at▁the ▁Marines ▁from▁the ▁roof s▁of ▁mosques▁and ▁hous es▁in ▁Hay ▁Al - G ol an , ▁but▁of▁course ▁that▁is ▁okay ▁for ▁Al - Jazeera .
